# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE79257|methylation_array|Homo sapiens|137|GSE79257_Illumina_samplesheet.csv.gz(1KB), GSE79257_RAW.tar(1.3GB)|development,epigenetics,infectious_disease,gut_intestine,reproduction|ASSISTED REPRODUCTIVE TECHNOLOGIES ALTER DNA METHYLATION PROFILES IN BLOODSPOTS OF NEWBORN INFANTS|Illumina Infinium HumanMethylation 450k Beadchip employed impact in-vitro fertilization peripheral total 137 Michigan newborns IVF fresh embryo transfer cryopreserved Intrauterine Insemination|
GSE77036|methylation_array|Homo sapiens|4|GSE77036_RAW.tar(215MB), GSE77036_signal_intensities.txt.gz(24MB)|cancer,epigenetics,cell_stress|DNA methylation analysis of HCT116 cells after PBS, 5-Aza-CdR, vitamin C and combination treatment|Genomide profiling Illumina Infinium 450k Human Beadchip obtain profiles across approximately 480 000 CpGs|
GSE76247|wgbs|Xenopus laevis|1|GSE76247_RAW.tar(363MB)|development,epigenetics|Single-base resolution methylome of Xenopus laevis embryos|describe base-resolution DNA methylation map gastrula generated whole genome bisulfite sequencing|
GSE81175|other_methylation|Mus musculus|43|GSE81175_epilcs_methyl_MEDIPS_norm.RPM.wig.gz(24MB), GSE81175_epilcs_OHM_MEDIPS_norm.RPM.wig.gz(22MB), GSE81175_pgclcs_methyl_MEDIPS_norm.RPM.wig.gz(31MB), GSE81175_pgclcs_OHM_MEDIPS_norm.RPM.wig.gz(25MB), GSE81175_pluri_methyl_MEDIPS_norm.RPM.wig.gz(30MB), GSE81175_pluri_OHM_MEDIPS_norm.RPM.wig.gz(38MB), GSE81175_RAW.tar(38MB)|development,epigenetics|DNA methylation and hydroxymethylation profiles were compared between mouse PGCLCs isolated from 6-day culture embryoid bodies, their precursor cells (ESCs, iPSCs, and EpiLCs), and E12.5 in vivo mouse PGCs.|genomes primordial germ cell-like pluripotent stem embryonic induced epiblast-like|
GSE76986|other_methylation|Homo sapiens|78|GSE76986_Combined_processed_HELP_tagging_data.txt.gz(1.1GB), GSE76986_RAW.tar(512MB)|development,epigenetics|Human cervical cells HELP-tagging cytosine methylation data|pursued hypothesis epigenetic regulators transcription development progression HPV-associated CIN most comprehensive date DNA neoplasia testing million loci throughout genome biopsies HPV women|
GSE51077|methylation_array|Homo sapiens|36|GSE51077_RAW.tar(183MB), GSE51077_signal_intensities.txt.gz(149MB)|cancer,epigenetics,lung_respiratory,cell_stress|The tissue is the issue: Improved methylome analysis from paraffin-embedded tissues by application of the HOPE-technique|Genome wide DNA methylation profiling samples obtained normal lung carcinoma either fixed formalin FFPE cryo-preserved Illumina HumanMethylation450 BeadChip obtain profiles across approximately 450|
GSE85868|other_methylation|Macaca mulatta; Pan troglodytes; Homo sapiens; Hoolock leuconedys; Macaca; Macaca fascicularis|86|no_suppl|neuroscience,epigenetics|Comparative Methylome Analyses Identify Epigenetic Regulatory Loci of Human Brain Evolution|SuperSeries composed SubSeries listed|
GSE85828|methylation_array|Homo sapiens|114|GSE85828_non-normalized.txt.gz(256MB), GSE85828_RAW.tar(1.1GB)|development|Molecular, Phenotypic, and Sample-associated Data to Describe Pluripotent Stem Cell Lines and Derivatives|use induced cells iPSC derived independent patients sources holds considerable promise improve understanding development disease optimized depends ability develop methods efficiently qualify|
GSE85823|other_methylation|Mus musculus|12|GSE85823_007_WT_Naive_enrich_vs_001_WT_Naive_total_mm9.50_peaks.bed.gz(1MB), GSE85823_008_KO_Naive_enrich_vs_002_KO_Naive_total_mm9.50_peaks.bed.gz(1MB), GSE85823_009_010_merged_WT_D8_enrich_vs_003_004_merged_WT_D8_total_mm9.50_peaks.bed.gz(1MB), GSE85823_011_012_merged_KO_D8_enrich_vs_005_006_merged_KO_D8_total_mm9.50_peaks.bed.gz(1MB), GSE85823_RAW.tar(1.4GB)|immunology,development,epigenetics,crispr_gene_editing|De novo DNA methylation by DNA Methyltransferase 3a controls early effector CD8+ T cell fate decisions following activation|DNMT3a expressed robustly regulates plasticity CD4 cytokine expression critical directing memory While knockout cells normal develop more precursor fewer terminal intrinsic manner wild-type animals|
GSE84965|other_methylation|Homo sapiens|4|GSE84965_RAW.tar(1.6GB)|immunology,epigenetics|DNA methylation patterns of lupus patient PBMCs, subdivided based on protein expression of ARID3a|Methyl-seq obtained total peripheral blood mononuclear cells two patients systemic erythematosus characterized having standard deviations more ARID3a-expressing lymphocytes healthy controls Similarly|
GSE80396|other_methylation|Mus musculus|6|GSE80396_RAW.tar(483MB)|epigenetics,skeletal_muscle|Genome-wide alterations in DNA methylation identify Leprel2, Foxf1, Mmp25, Igfbp6 and Peg12 as disease-associated genes in murine Achilles tendinopathy|partnered Zymo Research Inc detect changes initiation progression induced TGF-β1 tendon model differentially methylated present one experimental group showing modified status dependent injury|
GSE76651|other_methylation|Arabidopsis thaliana|5|GSE76651_RAW.tar(270KB)|epigenetics,plant_biology|Global Genome Repair factors are essential for shaping the DNA methylation landscape in Arabidopsis|SuperSeries composed SubSeries listed|
GSE76648|wgbs|Arabidopsis thaliana|2|GSE76648_Col_cen_CG_all.differenceDMRs.gff.gz(353KB), GSE76648_Col_cen_CHG_all.differenceDMRs.gff.gz(75KB), GSE76648_Col_cen_CHH_all.differenceDMRs.gff.gz(55KB), GSE76648_Col_DsLox_CG_all.differenceDMRs.gff.gz(331KB), GSE76648_Col_DsLox_CHG_all.differenceDMRs.gff.gz(50KB), GSE76648_Col_DsLox_CHH_all.differenceDMRs.gff.gz(51KB)|epigenetics,plant_biology|Global Genome Repair factors are essential for shaping the DNA methylation landscape in Arabidopsis [BS-seq]|report methylome plants deficient expression whole bisulfite sequencing technology|
GSE72155|wgbs|Populus trichocarpa; Sorghum bicolor; Brachypodium distachyon; Brassica oleracea; Erythranthe guttata|5|GSE72155_RAW.tar(2.5GB)|development,epigenetics|FASTmC: predictive models for non-reference-based estimations of DNA methylation|describe suite coined cost-effective exploration comparative context-specific levels Accurate true obtained few several thousand short-reads generated whole genome bisulfite sequencing make|
GSE85708|other_methylation|Homo sapiens|12|GSE85708_RAW.tar(56.1GB)|immunology,development,epigenetics,reproduction,plant_biology|Molecular Criteria for Defining the Naive Human Pluripotent State [methylation profiling]|cells isolated culture extent resemble vivo present three lines evidence indicating stem generated small molecules share signatures preimplantation embryo First comprehensive transposcriptome reveals|
GSE85636|methylation_array|Homo sapiens|52|GSE85636_RAW.tar(346MB)|skeletal_muscle|The Effects of Regular Post-Exercise Cold Water Immersion in Muscle Following 10-weeks of Strength Training|SuperSeries composed SubSeries listed|
GSE85621|methylation_array|Homo sapiens|26|GSE85621_RAW.tar(215MB), GSE85621_signal_intensities.txt.gz(61MB)|epigenetics,skeletal_muscle,cell_stress|The Effects of Regular Post-Exercise Cold Water Immersion on DNA methylation in Muscle Following 10-weeks of Strength Training|primary objective characterise impact sessions across cold-water CWI methhylation Secondary gains soreness microarrays detail global vastus lateralis tissue|
GSE76788|other_methylation|Hoolock leuconedys; Macaca fascicularis; Pan troglodytes; Homo sapiens; Macaca mulatta|38|GSE76788_Miseq_Coverage_Read_Count.txt.gz(786KB), GSE76788_Miseq_Methylated_Read_Count.txt.gz(785KB)|neuroscience,development,epigenetics|Comparative Methylome Analyses Identify Epigenetic Regulatory Loci of Human Brain Evolution [methylation]|report application DNA sequencing technology high-throughput mix bis-PCR products totally bisulfate treated chimpanzee gibbon macaque crab eating profrontal cortex tissues|
GSE81339|methylation_array|Homo sapiens|57|GSE81339_RAW.tar(209MB)|development,cardiovascular,epigenetics|Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy|SuperSeries composed SubSeries listed|
GSE81337|methylation_array|Homo sapiens|27|GSE81337_RAW.tar(183MB), GSE81337_signal_intensities.txt.gz(64MB)|development,cardiovascular,epigenetics|Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy (methylation)|expression implicated DCM analyzed methylomes Infinium 450K HumanMethylation BeadChip characterize differentially methylated probes right ventricles|
GSE77124|wgbs|Macaca mulatta|2|GSE77124_RAW.tar(698MB)|neuroscience,epigenetics|Comparative Methylome Analyses Reveal Human Brain Specific Methylated Regions Implicated in Transcription Regulation|gain further insights epigenetic changes generated whole genome bisulfite sequencing methylation maps methylomes rhesus macaque brains chimpanzee previously validation experiments targeted|
GSE62629|other_methylation|Homo sapiens|23|GSE62629_RAW.tar(3.9GB)|cardiovascular,epigenetics|Comparative DNA methylation and gene expression analysis identifies novel genes for structural congenital heart diseases|most common CHD ventricular septal defect VSD subfeature Tetralogy Fallot TOF representing form cyanotic causes majority CHDs still probably consist combinations genetic epigenetic environmental|
GSE71839|other_methylation|Homo sapiens|24|GSE71839_RAW.tar(40MB)|cancer,epigenetics,hematopoiesis,signal_transduction|Altered patterns of hydroxymethylation regulate oncogenic pathways in pancreatic cancer|Transcriptional deregulation hallmark due epigenetic alterations 5-hydroxymethylcytosine recently discovered modification studied Genome-wide 5-hmC enriched loci conducted low-passage cell lines|
GSE73747|methylation_array|Homo sapiens|72|GSE73747_RAW.tar(183MB), GSE73747_unmethylated_methylated.txt.gz(172MB)|neuroscience,development,epigenetics,cell_stress,gene_regulation|Epigenetic Dysregulation in the Developing Down Syndrome Brain|Illumina 450K arrays analyzed CpG sites hypermethylated hypomethylated fetal cortex throughout genome vast majority differentially methylated promoters genes located outside chromosome protocadherin|
GSE84103|rrbs|Mus musculus|14|GSE84103_RAW.tar(149MB)|development,epigenetics,crispr_gene_editing,cell_stress,gene_regulation|Regulation of Promoter and Enhancer Histone Landscape by DNA Methylation in Embryonic Stem Cells (RRBS)|mapped modification lysine genome-wide series mouse mESCs varying levels knock-out reconstitution methyltransferases DNMTs extend previous showing cross-talk modifications examining breadth causal|
GSE80559|methylation_array|Homo sapiens|2|GSE80559_RAW.tar(199MB), GSE80559_signal_intensities.txt.gz(6MB)|epigenetics|Evaluating the impact of sleep on genome-wide methylation levels in college students|Approximately DNA isolated blood subjects Qiagen DNEasy Tissue Kit samples group CESD-H/TST-H female male CESD-H/TST-L confirmed high purity A260/280 7-2 Pooled prepared combining eight two submitted|
GSE51196|methylation_array|Homo sapiens|3|GSE51196_non-normalized.txt.gz(8MB), GSE51196_RAW.tar(183MB)|cancer,epigenetics|Analysis of epigenetic changes in F-36P leukemic cells by arsenic disulfide treatment|Genome wide DNA methylation profiling treated Illumina HumanMethylation450 BeadChip obtain profiles|
GSE69705|other_methylation|Homo sapiens|6|GSE69705_RAW.tar(926MB), GSE69705_README-BSseq.txt.gz(194B)|development,metabolism,epigenetics,fibrosis_wound,gut_intestine,liver|Conversion of Human Gastric Epithelial Cells to Multipotent Endodermal Progenitors using Defined Small Molecules [DNA methylation]|stem/progenitor diverse potential applications research regenerative medicine readily available source widespread uses describe derivation induced hiEndoPCs gastrointestinal cocktail along support|
GSE79746|other_methylation|Arabidopsis thaliana|21|GSE79746_processed_data_file_header.txt.gz(200B), GSE79746_RAW.tar(3.5GB)|epigenetics,plant_biology,rna_biology,gene_regulation|Full-length autonomous transposable elements are preferentially targeted by expression-dependent forms of RNA-directed DNA methylation|diversity small RdDM underestimated due nearly complete transcriptional silencing TEs wild-type reference strains Arabidopsis thaliana plants mutant SWI/SNF histone remodeler DDM1 globally activated|
GSE64384|medip_seq|Mus musculus|6|GSE64384_RAW.tar(3.4GB)|development,epigenetics,infectious_disease|Cell-autonomous function of LSH ATPase in de novo DNA methylation|Purpose aimed determine expression either wild-type catalytically inactive carrying single point mutation binding site K237Q restore levels patterns mouse embryonic fibroblasts MEFs Methods|
GSE73684|oxbs_seq|Sus scrofa|3|GSE73684_RAW.tar(1.3GB)|development,metabolism,epigenetics|Subsets of visceral adipose tissue nuclei with discrete levels of 5-hydroxymethylcytosine|explored hypothesis contains epigenetically distinct subpopulations adipocytes differentially potentiated record cellular memories environment large fragile technically difficult efficiently isolate|
GSE72782|other_methylation|Homo sapiens|10|GSE72782_ACT_DhMLs_1000.txt.gz(113KB), GSE72782_UK_DhMLs_1000_2.txt.gz(516KB)|neuroscience,development,epigenetics,aging|5-Hydroxymenthylation-associated Epigenetic Modifiers in Alzheimer's disease|chronic neurodegenerative disorder characterized progressive deterioration cognitive Evidence regulation particular cytosine modifications 5-methylcytosine 5mC 5-hydroxymethylcytosine 5hmC highly|
GSE84395|methylation_array|Homo sapiens|39|GSE84395_RAW.tar(330MB)|immunology,cardiovascular,epigenetics,lung_respiratory,skeletal_muscle,cell_cycle|Endothelial DNA methalytion signature in pulmonary arterial hypertension|PAH severe incurable vascular disease One primary origins dysfunction leading vasoconstriction aberrant angiogenesis smooth muscle cell proliferation endothelial-to-mesenchymal transition thrombosis|
GSE70977|methylation_array|Homo sapiens|223|GSE70977_Oral_Rinse_DNAm_Oral_Pharyngeal_SCC_May2015_MIAME.txt.gz(770MB), GSE70977_RAW.tar(183MB)|cancer,epigenetics,cell_stress|CpG island methylation profile in non-invasive oral rinse samples is predictive of oral and pharyngeal carcinoma|Epigenome-wide association EWAS case-control 154 cases controls Illumina Infinium HumanMethylation450 Beadchip obtain DNA profiles across approximately 450 000 CpGs|
GSE48904|other_methylation|Dorcoceras hygrometricum|3|GSE48904_HD_vs_10_RWC.txt.gz(232KB), GSE48904_HD_vs_70_RWC.txt.gz(204KB)|epigenetics,plant_biology|Genome-wide DNA methylation maps during dehydration in leaf tissues of Boea hygrometrica|examine landscape assess functional significance generated first single-base resolution hydrated dehydrating RWC desiccating overall density methyl-cytosine broadly altered small increase intensity|
GSE72609|rrbs|Mus musculus|15|GSE72609_RAW.tar(15MB)|epigenetics,rna_biology|Intergenerational consequences of gene-environment induced epigenetic dynamics at rDNA in the mouse (RRBS)|ability environmental exposures one elicit phenotypic outcomes subsequent generations sole vehicle biological heredity non-genetic inheritance demonstrated variety non-mammalian species date remained|
GSE72608|other_methylation|Mus musculus|78|GSE72608_processed.txt.gz(2KB)|epigenetics,rna_biology|Intergenerational consequences of gene-environment induced epigenetic dynamics at rDNA in the mouse (Bis-PCR)|ability environmental exposures one elicit phenotypic outcomes subsequent generations sole vehicle biological heredity non-genetic inheritance demonstrated variety non-mammalian species date remained|
