# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE84474|cut_and_run|Homo sapiens; Saccharomyces cerevisiae|126|GSE84474_Cut-and-Run_extract_protocol.rtf.gz(9KB), GSE84474_Cut_and_Run_human.rtf.gz(9KB), GSE84474_Cut_and_Run_human_size_selection.rtf.gz(9KB), GSE84474_Cut-and-Run_PEG_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_spike-in_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_total_DNA_protocol.rtf.gz(2KB), GSE84474_Native_ChIP.rtf.gz(9KB), GSE84474_RAW.tar(9.7GB)|epigenetics,microbiology,cell_stress,gene_regulation|Cut-and-Run in situ factor profiling maps DNA binding and 3D contact sites at high resolution|Unlike Chromatin Immunoprecipitation ChIP fragments solubilizes total allowing high-resolution mapping probing local environment applied yeast human nuclei yielded precise transcription profiles|
GSE181025|cut_and_run|Mus musculus|10|GSE181025_RAW.tar(1.0GB)|neuroscience,epigenetics,infectious_disease|Cell type-specific mechanism of Setd1a heterozygosity in schizophrenia pathogenesis [CUT&RUN]|SCZ chronic serious mental disorder severe burden patients families society over 100 linked pathogenies molecular cellular largely unknown generated haploinsufficiency mouse model understand|
GSE171492|cut_and_tag|Homo sapiens|12|GSE171492_RAW.tar(155MB)|hematopoiesis|Genome Wide CUT&Tag in Day 7 and Day 10 human terminally maturing erythroblasts|Occupancy Ser5-Pol2 Ser2-Pol2|
GSE193070|cut_and_tag|Mus musculus|4|GSE193070_CHD4-9-14-SPG.bw(103MB), GSE193070_IGG-9-14-SPG.bw(38MB), GSE193070_Peaks.csv.gz(159KB)|development,epigenetics,reproduction,signal_transduction|CHD4 acts as a critical regulator in the survival of spermatogonial stem cells in mice [CUT&TAG]|Male spermatogenesis sustained homeostatic balance self-renewal differentiation SSCs dependent strict regulation transcriptional factor chromatin modulator gene expression Chromodomain helicase|
GSE192527|cut_and_run|Homo sapiens|5|GSE192527_TableS4_MACS2analysisfTRRAPCUTnRUN.xlsx(1MB)|cancer,immunology,signal_transduction|The TRRAP transcription cofactor represses interferon-stimulated genes in colorectal cancer cells II|essential respond signaling cues involves factors multiple distinct activities One part two large complexes SAGA TIP60 activation Structurally belongs family PIKKs member classified pseudokinase|
GSE192965|cut_and_tag|Homo sapiens|72|GSE192965_RAW.tar(2.3GB)|cancer,epigenetics,cell_stress|Genome-wide epigenetic changes of leukemia cell lines in reponse to byrostatin treatment|report application cut tag technology high-throughput profiling histone modifications leuemia cells bryostatin generated chromatin-state landscape NALM6 REH Raji Dual tri-methylation lysine protein|
GSE192837|cut_and_tag|Homo sapiens|6|GSE192837_RAW.tar(110KB)|cancer,epigenetics,infectious_disease,cell_stress|Epigenetic changes of Raji Epstein–Barr viral genome in reponse to byrostatin treatment|report application cut tag technology high-throughput profiling histone modifications bryostatin Dual tri-methylation lysine protein indicate genes actively expressed/regulated marks negatively|
GSE165416|cut_and_run|Mus musculus; Homo sapiens|8|GSE165416_RAW.tar(638MB)|development,epigenetics,kidney,gene_regulation,signal_transduction|Integrative Low-input Transcriptomic and Cistromic Analyses Identify CREB Target Genes in Cystic Epithelial Cells [CUT&RUN, ChIP-Seq]|Transcription factors TFs play crucial kidney development disease recognizing specific DNA sequences control expression programs cellular heterogeneity poses substantial challenges identifying|
GSE205954|cut_and_run|Homo sapiens|18|GSE205954_RAW.tar(1.7GB)|cancer,epigenetics,skeletal_muscle|An autoregulatory feedback loop converging on H2AK119ub1 drives synovial sarcoma [CUT&RUN]|SS18-SSX fusion oncogenic transformation bridging SS18 member mSWI/SNF complex polycomb repressive PRC1 target genes SSX C-terminus SSXRD domain directs chromatin binding independently specific|
GSE183739|cut_and_run|Mus musculus; Drosophila melanogaster|28|GSE183739_benetti_CUT_RUN_H2AK119ub.txt.gz(704KB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_2i_wt_vs_matdel.txt.gz(88KB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_d2.5_wt_vs_matdel.txt.gz(3MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_d2_wt_vs_matdel.txt.gz(16MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_d3_wt_vs_matdel.txt.gz(12MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_matdel_d2.5_vs_d3.txt.gz(16MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_matdel_d2_vs_d2.5.txt.gz(9MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_matdel_d2_vs_d3.txt.gz(13MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_wt_d2.5_vs_d3.txt.gz(9MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_wt_d2_vs_d2.5.txt.gz(3MB), GSE183739_benetti_H2AK119ub_CUT_RUN_csaw_peaks_wt_d2_vs_d3.txt.gz(15MB), GSE183739_benetti_H2AK119ub_CUT_RUN_diff_FPKM_over_MACS_peaks.txt.gz(3MB), GSE183739_third-party_reanalysis_readme.txt(2KB)|development,epigenetics,reproduction,plant_biology|Maternal Smchd1 regulates Hox gene expression and patterning in the mouse embryo [H2AK119ub CUT&RUN]|Parents transmit genetic epigenetic information offspring effect genes epigenome ensure normal development report regulator skeletal present oocyte preimplantation prevents precocious activation|
GSE183737|cut_and_run|Mus musculus|31|GSE183737_benetti_CUT_RUN_diff_FPKM_values_for_probes_over_Hox.txt.gz(28KB), GSE183737_benetti_CUT_RUN_H3K27me3.txt.gz(2MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_2i_wt_vs_matdel.txt.gz(222KB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_d2.5_wt_vs_matdel.txt.gz(689KB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_d2_wt_vs_matdel.txt.gz(5MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_d3_wt_vs_matdel.txt.gz(16MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_matdel_d2.5_vs_d3.txt.gz(6MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_matdel_d2_vs_d2.5.txt.gz(5MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_matdel_d2_vs_d3.txt.gz(11MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_wt_d2.5_vs_d3.txt.gz(1MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_wt_d2_vs_d2.5.txt.gz(1MB), GSE183737_benetti_H3K27me3_CUT_RUN_csaw_peaks_wt_d2_vs_d3.txt.gz(5MB), GSE183737_benetti_H3K27me3_CUT_RUN_diff_FPKM_over_MACS_peaks.txt.gz(6MB), GSE183737_third-party_reanalysis_readme.txt(2KB)|development,epigenetics,reproduction,plant_biology|Maternal Smchd1 regulates Hox gene expression and patterning in the mouse embryo [H3K27me3 CUT&RUN]|Parents transmit genetic epigenetic information offspring effect genes epigenome ensure normal development report regulator skeletal present oocyte preimplantation prevents precocious activation|
GSE171384|cut_and_run|Mus musculus|11|GSE171384_RAW.tar(2.3GB)|development,epigenetics,hematopoiesis|Profiling of Gata2 binding in primary erythroid cells by CUT&RUN|chromatin landscape developing erythroblasts changes dramatically differentiation profiled change entering terminal|
GSE171383|cut_and_run|Mus musculus|17|GSE171383_RAW.tar(3.6GB)|development,epigenetics,hematopoiesis|Profiling of Gata1 binding in primary erythroid cells by CUT&RUN|chromatin landscape developing erythroblasts changes dramatically differentiation profiled change entering terminal|
GSE206022|cut_and_tag|Homo sapiens|4|GSE206022_K562_PARP1_CUTnTag_combined_FE.bw(133MB), GSE206022_RAW.tar(222MB)|epigenetics,cell_stress,gene_regulation|RNA polymerase II and PARP1 shape enhancer-promoter contacts [CUT&Tag]|controls communication allow cis-transcriptional regulation mystery studied transcriptional dynamics shapes reflected frequency highly depend active transcription pausing widespread across metazoan|
GSE206092|cut_and_tag|Mus musculus|21|GSE206092_RAW.tar(13MB)|development,metabolism|ISL1 controls pancreatic alpha cell fate and regulates beta cell differentiation and maturation [CUT&Tag]|Glucose homeostasis dependent functional cells generation endocrine unravel molecular mode action controlling pancreas combining transgenic mouse models transcriptomic epigenomic profiling uncover|
GSE194231|cut_and_tag|Mus musculus|19|GSE194231_MEC_Grhl1.merged.CPM.bigwig(10MB), GSE194231_MEC_H3K27ac.merged.CPM.bigwig(19MB), GSE194231_MEC_Hnf4a.merged.CPM.bigwig(29MB), GSE194231_MEC_IgG.merged.CPM.bigwig(389KB), GSE194231_MEC_Pou2f3.merged.CPM.bigwig(3MB), GSE194231_RAW.tar(61MB)|immunology,development,gene_regulation|Thymic epithelial cells co-opt lineage-defining transcription factors to eliminate autoreactive T cells [CUT&TAG]|profiled medullary investigate T-cell tolerance|
GSE205324|cut_and_run|Mus musculus|6|GSE205324_RAW.tar(609MB)|epigenetics|H2B CUT&RUN in WT and ATF3 iKO satellite cells|binding profiling ChIP-seq ATF3-iKO|
GSE205462|cut_and_tag|Homo sapiens|3|GSE205462_RAW.tar(21MB)|cancer,epigenetics,drug_response,gene_regulation,liver|Transcriptional dysregulation of BAHCC1 in melanoma [CUT&Tag]|addiction cancer cells Super-Enhancer genes proven extensive use inhibitors against specific co-activators toward esponentially dependent canonical enhancers type displays different sensitivity new|
GSE172543|cut_and_run|Homo sapiens|9|GSE172543_H3K4me2Peaks.csv.gz(3MB), GSE172543_H3K79me2Peaks.csv.gz(77KB)|neuroscience,development,epigenetics|CUT&RUN chromatin profiling of H3K4me2 and H3K79me2 in hPSC-derived cortical neurons|Chemical inhibition histone demethyase LSD1 methyltransferase DOT1L promotes maturation pluripotent stem cells profiled genome distribution marks targeted enzymes immature|
GSE202572|cut_and_tag|Mus musculus|10|GSE202572_RAW.tar(244MB)|immunology,epigenetics,crispr_gene_editing,gene_regulation|Mouse SINE B2 elements function as IFN-inducible enhancer elements [CUT&Tag]|B2_Mm2 acts STAT1 binding site interferon nearbby interferon-stimulated gene Dicer1 innate immune response IFNG stimulated J774 knockouts deficient downregulated expression Serpina3f Serpina3g|
GSE203091|cut_and_run|Mus musculus|12|GSE203091_RAW.tar(1.3GB)|immunology,development,epigenetics|The long noncoding RNA Malat1 regulates CD8+ T cell differentiation by mediating epigenetic repression (CUT&RUN)|impacts effector memory subsets virtue preferential memory-associated genes terminal cells interaction Ezh2|
GSE194110|cut_and_run|Mus musculus|9|GSE194110_RAW.tar(3.6GB)|development,epigenetics,gene_regulation|Context-dependent enhancer function revealed by targeted inter-TAD relocation [CUT&RUN]|expression genes key development frequently controlled large regulatory landscapes containing multiple elements often match Topologically Associating Domains TADs sometimes integrate range similar|
GSE190793|cut_and_tag|Homo sapiens|7|GSE190793_RAW.tar(623MB)|epigenetics|GoPeaks: histone modification peak calling for CUT&Tag|tool modifications|
GSE176431|cut_and_run|Homo sapiens|4|GSE176431_H31_EZH2_S12_vs_H31_HRP_S11_peaks.broadPeak.gz(822KB), GSE176431_RAW.tar(659MB), GSE176431_WT_EZH2_S8_vs_WT_HRP_S7_peaks.broadPeak.gz(751KB)|cancer,epigenetics|Dual interactions of K27M mutant nucleosomes with PRC2 and MLL1 shape the cancer epigenetic landscape [CUT&RUN, HEK293]|mutations genes encoding histones dramatically reshape chromatin patterns support tumorigenesis despite low prevalence Lysine Methionine substitution residue histone driver mutation high-grade|
GSE158447|cut_and_run|Homo sapiens|66|GSE158447_RAW.tar(10.0GB)|cancer,epigenetics|Dual interactions of K27M mutant nucleosomes with PRC2 and MLL1 shape the cancer epigenetic landscape (Cut&Run)|mutations genes encoding histones dramatically reshape chromatin patterns support tumorigenesis despite low prevalence Lysine Methionine substitution residue histone driver mutation high-grade|
GSE194359|cut_and_run|Mus musculus|3|GSE194359_RAW.tar(302MB)|cancer,immunology,epigenetics,reproduction,signal_transduction|KDM5A inhibits anti-tumor immune response through downregulation of antigen presentation pathway in ovarian cancer [CUT&RUN]|infiltration effector CD8 cells tumors one major predictors clinical outcome epithelial EOC patients cell complex process affected epigenetic makeup lysine histone H3K4 demethylase impairs|
GSE172152|cut_and_tag|Homo sapiens|15|GSE172152_RAW.tar(679MB)|cancer,epigenetics,gut_intestine,drug_response,cell_stress,gene_regulation,signal_transduction|MOZ and Menin-MLL Complexes are Complementary Regulators of Chromatin Association and Transcriptional Output in Gastrointestinal Stromal Tumor [ChIP-seq and CUT&Tag]|GIST commonly characterized activating mutations receptor tyrosine kinase KIT inhibitors approved therapy other treatment strategies urgently needed lacks oncogene amplification relies established|
GSE174781|cut_and_run|Drosophila melanogaster|4|GSE174781_RAW.tar(126MB)|immunology,development,epigenetics,cell_stress,rna_biology,gene_regulation|Genome-wide distribution analysis of RNA Helicase Maleless (MLE) in Drosophila Melanogaster early male embryo, before (0-2 Hr) and after (2-4 Hr) maternal to zygotic transition (MZT) and in absence of CLAMP|Purpose Pioneer Transcription factor affects sex-specifc splicing initial embryonic development regulating occupancy spliceosome component chromatin Method Cut Run DNA libraries Uyehara McKay 2019|
GSE201304|cut_and_tag|Mus musculus|3|GSE201304_RAW.tar(48MB)|immunology,development,metabolism,epigenetics,gene_regulation,signal_transduction|PGE2-EP3 axis controls brown adipose tissue development through  stabilization of WTAP protein|conducting CUT TAG reported adipogenesis induction markedly increased ZFP410 occupancy chromatin genes containing ZFP410-bound peaks enriched fat cell differentiation Consistently binding signals|
GSE179723|cut_and_run|Mus musculus|9|GSE179723_RAW.tar(4MB)|immunology,epigenetics,signal_transduction|Tcf1-CTCF cooperativity shapes genomic architecture  to promote CD8+ T cell homeostasis [CTCF Cut&Run]|intricate interplay among Tcf1/Lef1 Stat5 orchestrates coordinately homeostatic proliferation|
GSE183617|cut_and_run|Mus musculus|27|GSE183617_RAW.tar(4.1GB)|immunology,development,epigenetics|BAF complex cooperates with c-Myc to orchestrate early fate decisions of CD8 T cells (Cut&Run)|cBAF co-assort asymmetrically two daughter nuclei low display trajectory towards memory differentiation physically interact other act establishing chromatin landscape activated|
GSE200831|cut_and_run|Myotis lucifugus|20|GSE200831_RAW.tar(944MB)|immunology,epigenetics,infectious_disease,signal_transduction|Transcriptional dynamics of transposable elements in the type I IFN response in Myotis lucifugus cells (CUT&RUN)|Bats major reservoir zoonotic viruses growing interest characterizing bat-specific features innate immunity inflammation Recent adaptations affecting interferon signaling IFN-stimulated genes ISGs|
GSE194162|cut_and_tag|Mus musculus|9|GSE194162_RAW.tar(7MB)|cardiovascular,epigenetics,gene_regulation|CUT&Tag for H2A.Z using mouse heart tissues from control and Znhit1-deficient mice|important subunit SRCAP complex regulates gene transcription replacing histone variant promoter regions Deletion reported impact incorporation genome explore assays examine distribution changes|
GSE188482|cut_and_run|Mus musculus|9|GSE188482_RAW.tar(201MB)|cancer,immunology,neuroscience,development,epigenetics,gene_regulation|Ablation of cDC2 specification by triple mutations in the Zeb2 enhancer [CUT&RUN]|divergence common dendritic cell progenitor CDP specified progenitors cDC1 cells subsets poorly understood transcription factors TFs act commitment already Batf3 stabilizes Irf8 autoactivation|
GSE174108|cut_and_run|Mus musculus|2|GSE174108_RAW.tar(93MB)|cancer,immunology,neuroscience,development,epigenetics,gene_regulation|Ablation of cDC2 specification by triple mutations in the Zeb2 enhancer [ChIP-Seq]|divergence common dendritic cell progenitor CDP specified progenitors cDC1 cells subsets poorly understood transcription factors TFs act commitment already Batf3 stabilizes Irf8 autoactivation|
GSE196375|cut_and_run|Mus musculus|12|GSE196375_RAW.tar(2.0GB)|cancer,immunology,development|Nuclear Vav3 is required for canonical PRC1 activity in B-cell lymphoblastic leukemogenesis (CUT&RUN)|Acute leukemia B-ALL represents multiclonal evolution progenitors endowed tumor-initiating propagating properties previously concurrent overexpression activation Rac guanine nucleotide exchange|
GSE200761|cut_and_tag|Homo sapiens; Mus musculus|19|GSE200761_EVT_CutTag_H3K27ac_peaks.bed.gz(328KB), GSE200761_hTSC_CutTag_cJun_peaks.bed.gz(306KB), GSE200761_hTSC_CutTag_H3K27ac_peaks.bed.gz(174KB), GSE200761_hTSC_CutTag_H3K4me1_peaks.bed.gz(707KB), GSE200761_hTSC_CutTag_H3K4me3_peaks.bed.gz(320KB), GSE200761_hTSC_CutTag_JunD_peaks.bed.gz(206KB), GSE200761_mTSC_CutTag_H3K27ac_peaks.bed.gz(340KB), GSE200761_mTSC_CutTag_H3K4me1_peaks.bed.gz(570KB), GSE200761_mTSC_CutTag_H3K4me3_peaks.bed.gz(238KB), GSE200761_RAW.tar(224MB)|infectious_disease,reproduction,cell_stress,gene_regulation|Regulation of human trophoblast gene expression by endogenous retroviruses [CUT&TAG]|placenta fast-evolving organ displays large morphological histological differences across eutherians genetic changes driving placental evolution fully elucidated Transposable elements capacity|
GSE200760|cut_and_run|Homo sapiens|6|GSE200760_RAW.tar(229MB)|infectious_disease,reproduction,cell_stress,gene_regulation|Regulation of human trophoblast gene expression by endogenous retroviruses [CUT&RUN]|placenta fast-evolving organ displays large morphological histological differences across eutherians genetic changes driving placental evolution fully elucidated Transposable elements capacity|
GSE214013|cut_and_tag|Homo sapiens|8|GSE214013_RAW.tar(19MB)|development,epigenetics,gene_regulation|Integrative CUT&Tag/RNA-Seq analysis of histone variant macroH2A1-dependent orchestration of human iPSCs reprogramming|Human-induced pluripotent stem cells derived adult forced expression defined transcription factors paves way autologous iPSC-derived therapies considered safe somatic inefficient process range|
GSE197420|cut_and_run|Mus musculus|15|GSE197420_P10_NRL_idr_peaks.tsv.gz(481KB), GSE197420_P28_NRL_idr_peaks.tsv.gz(233KB), GSE197420_P2_NRL_idr_peaks.tsv.gz(86KB), GSE197420_P4_NRL_idr_peaks.tsv.gz(215KB), GSE197420_peak_quantitation.tsv.gz(924KB), GSE197420_RAW.tar(1.3GB)|neuroscience,development,gene_regulation,eye_vision|Developmental genome-wide occupancy analysis of bZIP transcription factor NRL uncovers the role of c-Jun in early differentiation of rod photoreceptors in the mammalian retina [CUT&RUN]|basic motif-leucine zipper determines cell fate retinal loss leads cone-only mice works synergistically homeodomain protein Cone-Rod Homeobox other regulatory factors control most genes morphogenesis|
GSE202671|cut_and_run|Homo sapiens|4|GSE202671_RAW.tar(1.1GB)|cancer,neuroscience,development,epigenetics,skeletal_muscle,gene_regulation|Loss of PRC2 enforces a mesenchymal neural crest stem cell phenotype in NF1-deficient cancer through activation of core transcription factors [CUT&RUN]|Genetic alterations dysregulation polycomb repressive complex common features multiple types Loss-of-function mutations genes SUZ12 EED occur high frequency malignant peripheral nerve sheath tumors|
